,Compound,Date,Negative,Neutral,Positive,Sources,Tweets Ago
233,0.1027,Mon Jun 04 21:38:59 +0000 2018,0.0,0.924,0.076,@FoxNews,34
234,-0.5667,Mon Jun 04 21:35:00 +0000 2018,0.226,0.774,0.0,@FoxNews,35
235,0.743,Mon Jun 04 21:33:17 +0000 2018,0.0,0.741,0.259,@FoxNews,36
236,0.4019,Mon Jun 04 21:29:05 +0000 2018,0.0,0.863,0.137,@FoxNews,37
237,0.0,Mon Jun 04 21:19:47 +0000 2018,0.0,1.0,0.0,@FoxNews,38
238,0.4019,Mon Jun 04 21:10:49 +0000 2018,0.0,0.87,0.13,@FoxNews,39
239,0.5719,Mon Jun 04 21:05:33 +0000 2018,0.0,0.844,0.156,@FoxNews,40
240,-0.4215,Mon Jun 04 20:59:23 +0000 2018,0.215,0.701,0.084,@FoxNews,41
241,0.8126,Mon Jun 04 20:49:54 +0000 2018,0.0,0.709,0.291,@FoxNews,42
242,0.4215,Mon Jun 04 20:45:00 +0000 2018,0.0,0.823,0.177,@FoxNews,43
243,0.0,Mon Jun 04 20:40:34 +0000 2018,0.0,1.0,0.0,@FoxNews,44
244,-0.2944,Mon Jun 04 20:34:44 +0000 2018,0.128,0.872,0.0,@FoxNews,45
245,-0.4767,Mon Jun 04 20:22:23 +0000 2018,0.205,0.795,0.0,@FoxNews,46
246,0.7783,Mon Jun 04 20:09:51 +0000 2018,0.0,0.688,0.312,@FoxNews,47
247,0.1027,Mon Jun 04 19:58:12 +0000 2018,0.117,0.745,0.138,@FoxNews,48
248,-0.34,Mon Jun 04 19:50:45 +0000 2018,0.138,0.862,0.0,@FoxNews,49
249,0.0,Mon Jun 04 19:44:21 +0000 2018,0.0,1.0,0.0,@FoxNews,50
250,0.4404,Mon Jun 04 19:37:18 +0000 2018,0.0,0.868,0.132,@FoxNews,51
251,-0.0516,Mon Jun 04 19:29:28 +0000 2018,0.15,0.714,0.136,@FoxNews,52
